size,mflop
31,6249.06
32,7083.59
96,7931.64
97,8751.32
127,8616.51
128,8239.43
129,8928.23
191,8825.42
192,8391.39
229,8640.42
255,8922.97
256,8649.82
257,9014.55
319,8784.33
320,8415.93
321,8867.84
417,6872.02
479,6550.79
480,6533.04
511,6496.9
512,6083.94
639,5958.96
640,6158.3
767,6125.32
768,6414.78
769,6121.06
1023,6232.2
1024,6295.49
1025,6387.86
1525,5162.18
1526,5818.42
1527,5867.81
