size,mflop
31,16374.3
32,20358.7
96,26936
97,24898
127,25636.8
128,28052.2
129,26992.5
191,26744.8
192,26957.6
229,25529.4
255,27886.2
256,29983.6
257,27778.2
319,29229.7
320,30644.7
321,30080.2
417,31263.7
479,30309.9
480,34226.6
511,31215.2
512,30796.4
639,32045.4
640,32995.9
767,32060.1
768,33489.1
769,34902.7
1023,31364.8
1024,33546.6
1025,29645.8
1525,33025
1526,33669.6
1527,32622.3
