size,mflop
31,2692.29
32,2692.64
96,2158
97,2188.35
127,2036.86
128,1943.03
129,2031.99
191,1874.87
192,1830.24
229,1829.06
255,1796.55
256,1692.06
257,1801.59
319,1747.39
320,1709.44
321,1754.12
417,1677.35
479,1660.73
480,1643.66
511,1661.1
512,504.32
639,1674.64
640,1654.32
767,1668.01
768,649.911
769,1671.86
1023,1667.95
1024,624.229
1025,1668.54
1525,1569.3
1526,1568.5
1527,1575.51
