size,mflop
31,7294.72
32,9682.67
96,10106.6
97,10361.2
127,22307.9
128,23910.4
129,18922.4
191,11075.3
192,9855.04
229,15600.4
255,21221.4
256,22224.5
257,19937.3
319,12939.8
320,13265
321,13259.2
417,17034
479,18094.1
480,17745.6
511,21215.1
512,21331.9
639,21346.8
640,21796
767,21333.6
768,21592.7
769,21018.6
1023,20188.9
1024,20101.2
1025,19454.8
1525,20796.6
1526,20806.3
1527,20607.8
